,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
107,Puerto Ayora,EC,-0.74,-90.35,24.98,86,62,2.68,broken clouds
108,Marystown,CA,47.17,-55.15,11.03,100,14,0.45,few clouds
109,Mareeba,AU,-17.00,145.43,25.18,77,13,1.17,few clouds
110,Ginir,ET,7.13,40.70,16.27,80,99,0.97,overcast clouds
111,Klyuchi,RU,52.27,79.17,6.62,69,100,2.6,overcast clouds
112,Kaitangata,NZ,-46.28,169.85,11.94,73,100,2.2,light rain
113,Deputatskiy,RU,69.30,139.90,-7.19,85,100,1.6,overcast clouds
114,Ferrol,ES,43.48,-8.24,16.82,76,2,5.06,clear sky
115,Cabo San Lucas,MX,22.89,-109.91,35.1,67,20,1.34,few clouds
116,Tiksi,RU,71.69,128.87,-1.78,97,100,3.26,light snow
117,Butaritari,KI,3.07,172.79,27.44,68,40,4.24,scattered clouds
118,Norman Wells,CA,65.28,-126.83,0.02,93,75,5.14,broken clouds
119,Petrov Val,RU,50.14,45.21,6.86,50,0,1.43,clear sky
120,Kaoma,ZM,-14.78,24.80,25.65,24,8,2.49,clear sky
121,Soe,ID,-9.86,124.28,19.32,62,100,0.72,overcast clouds
122,The Valley,AI,18.22,-63.06,27.28,94,75,4.63,broken clouds
123,Jizan,SA,17.33,42.67,30.52,69,17,1.51,few clouds
124,Dalby,AU,-27.18,151.27,23.32,55,89,1.79,overcast clouds
125,Havre,FR,49.58,0.33,14.87,94,90,3.6,overcast clouds
126,Sao Miguel Do Iguacu,BR,-25.35,-54.24,23.69,90,100,1.26,overcast clouds
127,Ust-Kuyga,RU,70.02,135.60,-4.79,99,100,1.95,overcast clouds
128,Atuona,PF,-9.80,-139.03,25.74,74,37,8.33,scattered clouds
129,Mackay,AU,-21.15,149.20,26.49,73,22,2.57,few clouds
130,Shimanovsk,RU,52.00,127.70,0.86,87,26,3.92,scattered clouds
131,Cape Town,ZA,-33.93,18.42,17.29,88,0,1.54,clear sky
132,Port Hardy,CA,50.70,-127.42,11.1,71,75,3.09,light intensity shower rain
133,Georgetown,MY,5.41,100.34,26.05,86,20,1.03,light rain
134,Asyut,EG,27.18,31.18,26.1,22,33,1.85,scattered clouds
135,Kitimat,CA,54.05,-128.65,9.95,65,99,0.45,light rain
136,North Bend,US,43.41,-124.22,16.25,79,1,5.14,clear sky
137,Durango,MX,24.83,-104.83,27.74,24,1,5.43,clear sky
138,Bredasdorp,ZA,-34.53,20.04,15.16,82,77,0.83,broken clouds
139,Mecca,SA,21.43,39.83,29.82,44,3,0.8,clear sky
140,Iseyin,NG,7.97,3.60,22.85,95,100,2.01,light rain
141,Taywarah,AF,33.35,64.42,1.0,22,0,2.91,clear sky
142,Ostrovnoy,RU,68.05,39.51,5.97,94,100,1.37,overcast clouds
143,Sept-Iles,CA,50.20,-66.38,11.29,85,40,1.03,scattered clouds
144,Arman,RU,59.70,150.17,-1.52,57,0,3.67,clear sky
145,Maksatikha,RU,57.80,35.88,4.15,81,17,2.52,few clouds
146,Bengkulu,ID,-3.80,102.27,23.91,91,90,2.03,overcast clouds
147,Pecos,US,31.42,-103.49,29.05,8,1,10.8,clear sky
148,Ossora,RU,59.24,163.07,1.57,66,11,0.98,few clouds
149,Iquitos,PE,-3.75,-73.25,31.02,62,40,0.0,scattered clouds
150,Narsaq,GL,60.92,-46.05,1.12,48,23,0.79,few clouds
151,Vila Velha,BR,-20.33,-40.29,19.97,100,90,2.57,mist
152,Namibe,AO,-15.20,12.15,19.63,90,66,0.81,broken clouds
153,Haines Junction,CA,60.75,-137.51,5.97,52,23,1.03,few clouds
154,Vitim,RU,59.45,112.56,0.53,86,100,4.14,overcast clouds
155,Ponta Do Sol,PT,32.67,-17.10,22.78,70,17,2.3,few clouds
156,Nikolskoye,RU,59.70,30.79,10.57,69,13,3.78,few clouds
157,Skibbereen,IE,51.55,-9.27,10.89,87,35,2.46,scattered clouds
158,Kumano,JP,34.34,132.59,22.19,82,1,0.86,clear sky
159,San Carlos,VE,9.66,-68.58,26.22,87,77,0.32,broken clouds
160,Enshi,CN,30.30,109.48,15.94,94,100,0.97,overcast clouds
161,Atasu,KZ,48.68,71.64,7.25,68,100,5.28,light rain
162,Malatya,TR,38.50,38.00,6.03,53,0,2.57,clear sky
163,Porto Novo,BJ,6.50,2.60,26.9,85,89,2.44,overcast clouds
164,Nome,US,64.50,-165.41,3.42,69,20,0.0,few clouds
165,Bismarck,US,46.81,-100.78,20.91,37,1,5.66,clear sky
166,Barrow,US,71.29,-156.79,-2.99,93,75,4.63,mist
167,Sorland,NO,67.67,12.69,8.04,80,100,4.62,overcast clouds
168,Ilulissat,GL,69.22,-51.10,0.01,86,20,0.51,few clouds
169,Luganville,VU,-15.53,167.17,26.34,83,98,5.99,overcast clouds
170,Bathsheba,BB,13.22,-59.52,28.34,78,40,7.72,light rain
171,Yar-Sale,RU,66.83,70.83,-2.66,82,42,3.84,scattered clouds
172,Wajima,JP,37.40,136.90,23.5,77,10,8.4,light rain
173,Buala,SB,-8.14,159.59,28.32,76,88,2.52,overcast clouds
174,Myitkyina,MM,25.38,97.40,23.66,91,12,0.91,few clouds
175,Guerrero Negro,MX,27.98,-114.06,25.73,50,0,6.18,clear sky
176,Victoria,HK,22.29,114.16,27.96,84,100,0.45,overcast clouds
177,Carnarvon,AU,-24.87,113.63,17.04,77,0,6.69,clear sky
178,East London,ZA,-33.02,27.91,15.37,69,15,7.73,few clouds
179,Kindu,CD,-2.95,25.95,20.83,97,97,1.79,overcast clouds
180,Port Keats,AU,-14.25,129.55,28.28,73,97,4.3,overcast clouds
181,Srivardhan,IN,18.03,73.02,25.51,89,100,1.56,overcast clouds
182,Asfi,MA,32.30,-9.24,20.29,93,96,4.37,overcast clouds
183,Morlaix,FR,48.58,-4.00,15.03,97,40,2.57,mist
184,Dwarka,IN,22.24,68.97,27.66,76,2,2.32,clear sky
185,Salalah,OM,17.02,54.09,27.05,74,75,2.06,broken clouds
186,Leh,IN,34.17,77.58,4.74,43,0,2.21,clear sky
187,Severo-Kurilsk,RU,50.68,156.12,9.31,95,100,11.24,moderate rain
188,Grand Gaube,MU,-20.01,57.66,22.22,91,99,1.34,light rain
189,Provideniya,RU,64.38,-173.30,0.06,80,75,4.0,broken clouds
190,Lebu,CL,-37.62,-73.65,11.97,79,10,5.59,clear sky
191,Souillac,MU,-20.52,57.52,22.21,100,75,5.14,light rain
192,Tucuman,AR,-26.82,-65.22,25.0,38,0,4.63,clear sky
193,Hasaki,JP,35.73,140.83,22.38,71,49,6.1,scattered clouds
194,Umm Lajj,SA,25.02,37.27,30.92,49,0,2.55,clear sky
195,Iralaya,HN,15.00,-83.23,27.87,82,84,2.92,broken clouds
196,Kalmunai,LK,7.42,81.82,26.89,78,98,1.83,moderate rain
197,Polyarnyy,RU,69.20,33.45,6.26,92,100,0.38,overcast clouds
198,Mount Isa,AU,-20.73,139.50,19.87,100,90,2.06,light rain
199,Codrington,AU,-38.27,141.97,9.69,71,85,4.15,overcast clouds
200,Svetlogorsk,BY,52.63,29.73,3.67,66,89,1.93,overcast clouds
201,Tromso,NO,69.65,18.96,7.43,93,75,1.54,broken clouds
202,Kutum,SD,14.20,24.67,28.96,19,84,6.08,broken clouds
203,Nemuro,JP,43.32,145.57,17.81,88,100,13.66,light rain
204,Huilong,CN,31.81,121.66,22.24,88,100,10.36,overcast clouds
205,Tual,ID,-5.67,132.75,28.05,75,100,0.54,overcast clouds
206,Esperance,AU,-33.87,121.90,15.25,41,100,9.07,overcast clouds
207,Necochea,AR,-38.55,-58.74,16.13,85,35,3.23,scattered clouds
208,Nyurba,RU,63.28,118.33,-0.81,91,100,5.96,light snow
209,Itarema,BR,-2.92,-39.92,26.35,76,7,7.8,clear sky
210,Lucea,JM,18.45,-78.17,29.92,72,96,0.68,overcast clouds
211,Pangnirtung,CA,66.15,-65.71,-3.0,100,75,2.57,fog
212,Melito Di Porto Salvo,IT,37.92,15.77,19.62,68,90,5.14,overcast clouds
213,Kamenka,RU,51.32,42.77,5.8,61,0,2.13,clear sky
214,Kloulklubed,PW,7.04,134.26,27.28,75,96,5.4,overcast clouds
215,Paragominas,BR,-2.97,-47.48,23.97,89,61,0.65,broken clouds
216,Champerico,GT,14.30,-91.92,32.09,77,100,4.49,overcast clouds
217,Iqaluit,CA,63.75,-68.51,1.85,87,20,0.89,few clouds
218,Nioro,GM,13.35,-15.75,25.58,85,58,2.77,broken clouds
219,Floresta,BR,-8.60,-38.57,31.09,23,100,5.45,overcast clouds
220,Sistranda,NO,63.73,8.83,9.94,80,98,11.67,overcast clouds
221,Isla Vista,US,34.41,-119.86,30.04,37,1,3.6,clear sky
222,Lompoc,US,34.64,-120.46,29.56,58,1,6.17,clear sky
223,Kazerun,IR,29.62,51.65,23.11,17,0,1.93,clear sky
224,Clyde River,CA,70.47,-68.59,3.13,81,75,5.14,broken clouds
225,Contamana,PE,-7.33,-75.02,32.41,48,89,0.99,overcast clouds
226,Champasak,LA,14.75,106.00,22.57,100,100,0.94,overcast clouds
227,Pimentel,PE,-6.84,-79.93,19.16,72,0,9.26,clear sky
228,Vila Franca Do Campo,PT,37.72,-25.43,21.23,88,100,4.75,overcast clouds
229,Wadern,DE,49.53,6.88,8.47,92,47,0.7,scattered clouds
230,Hofn,IS,64.25,-15.21,5.33,67,48,4.39,scattered clouds
231,Inuvik,CA,68.35,-133.72,-0.52,93,90,2.06,light snow
232,Riyadh,SA,24.69,46.72,25.08,17,0,1.88,clear sky
233,Tommot,RU,58.96,126.29,0.56,82,64,5.23,broken clouds
234,Constitucion,CL,-35.33,-72.42,15.39,67,0,6.22,clear sky
235,Awjilah,LY,29.11,21.29,25.43,28,0,4.04,clear sky
236,Haileybury,CA,47.45,-79.64,17.32,90,97,3.72,overcast clouds
237,New Delhi,IN,28.61,77.23,26.09,78,0,0.0,mist
238,Flinders,AU,-34.58,150.86,12.6,79,100,2.24,overcast clouds
239,Port Lincoln,AU,-34.73,135.87,12.0,56,5,4.78,clear sky
240,Santa Engracia,ES,41.94,-1.32,13.77,69,68,4.69,broken clouds
241,Belmonte,BR,-15.86,-38.88,23.28,91,78,3.78,broken clouds
242,Fairbanks,US,64.84,-147.72,2.98,94,90,1.54,light rain
243,Camacupa,AO,-12.02,17.48,22.39,31,69,1.34,broken clouds
244,Oranjestad,AW,12.52,-70.03,29.97,70,20,5.66,few clouds
245,Mackenzie,CA,55.30,-123.17,8.12,49,75,6.69,broken clouds
246,Westport,US,41.14,-73.36,18.78,90,90,0.45,overcast clouds
247,Dulce Nombre De Culmi,HN,15.10,-85.53,34.13,60,98,1.11,overcast clouds
248,Sorong,ID,-0.88,131.25,26.15,85,100,2.53,overcast clouds
249,Ulaanbaatar,MN,47.91,106.88,-7.93,86,0,1.0,clear sky
